chr;x;labels
chr1;70664313;Marker
chr1;129628682;Marker
chr2;86249567;Marker
chr2;94742572;Marker
chr3;79550662;Marker
chr3;33932249;Marker
chr4;44641484;Marker
chr4;148186933;Marker
chr5;54220192;Marker
chr5;79086786;Marker
chr6;21680997;Marker
chr6;4106005;Marker
chr7;8486351;Marker
chr7;105706609;Marker
chr8;55131223;Marker
chr8;20966831;Marker
chr9;105151465;Marker
chr9;105972192;Marker
chr10;54390866;Marker
chr10;28163259;Marker
chr11;27631063;Marker
chr11;56949759;Marker
chr12;44745948;Marker
chr12;81511666;Marker
chr13;48821688;Marker
chr13;73136658;Marker
chr14;57678831;Marker
chr14;114440425;Marker
chr15;23906902;Marker
chr15;60636476;Marker
chr16;26532273;Marker
chr16;68872595;Marker
chr17;27684738;Marker
chr17;28642393;Marker
chr18;68480278;Marker
chr18;25362011;Marker
chr19;41828016;Marker
chr19;60943920;Marker
chrX;162457205;Marker
chrX;118850618;Marker
chrY;90493983;Marker
chrY;67108167;Marker
