chr;x;labels
chr1;135228432;Marker
chr1;148649706;Marker
chr2;116585756;Marker
chr2;164246642;Marker
chr3;125995868;Marker
chr3;78559362;Marker
chr4;139479301;Marker
chr4;117569279;Marker
chr5;16955816;Marker
chr5;103427488;Marker
chr6;37194371;Marker
chr6;78572166;Marker
chr7;42023176;Marker
chr7;126031581;Marker
chr8;41411941;Marker
chr8;142760992;Marker
chr9;92489933;Marker
chr9;60825246;Marker
chr10;5946536;Marker
chr10;108131534;Marker
chr11;127927984;Marker
chr11;28519802;Marker
chr12;49622810;Marker
chr12;20112303;Marker
chr13;36747458;Marker
chr13;20977124;Marker
chr14;55537283;Marker
chr14;36907131;Marker
chr15;53963364;Marker
chr15;101935646;Marker
chr16;61419205;Marker
chr16;74795480;Marker
chr17;39806123;Marker
chr17;8404540;Marker
chr18;8487366;Marker
chr18;48119133;Marker
chr19;28733719;Marker
chr19;50643977;Marker
chr20;46865254;Marker
chr20;41474259;Marker
chr21;31539896;Marker
chr21;2497756;Marker
chr22;38984715;Marker
chr22;30651820;Marker
chrX;137840186;Marker
chrX;46477660;Marker
chrY;17290488;Marker
chrY;41671111;Marker
