chr;x0;x1;y1
chr1;1;28276308.4;3.84234012323432
chr1;28276308.4;56552615.8;3.84495226596482
chr1;56552615.8;84828923.2;8.65491702442523
chr1;84828923.2;113105230.6;1.70618806618731
chr1;113105230.6;141381538;5.65977715796325
chr1;141381538;169657845.4;5.20200693297666
chr1;169657845.4;197934152.8;4.87910881955177
chr1;197934152.8;226210460.2;1.21058933737222
chr1;226210460.2;254486767.6;2.79475518451072
chr1;254486767.6;282763075;1.56120202126913
chr2;1;26643513.5;0.967867836006917
chr2;26643513.5;53287026;2.86808616311755
chr2;53287026;79930538.5;5.31058835790027
chr2;79930538.5;106574051;0.270682120649144
chr2;106574051;133217563.5;5.85098239495419
chr2;133217563.5;159861076;1.45677744343411
chr2;159861076;186504588.5;2.87401556312107
chr2;186504588.5;213148101;0.526183049054816
chr2;213148101;239791613.5;3.06262601497583
chr2;239791613.5;266435126;5.87881955634803
chr3;1;17770000.2;2.19965173595119
chr3;17770000.2;35539999.4;1.71456012069248
chr3;35539999.4;53309998.6;5.05763116884045
chr3;53309998.6;71079997.8;7.14624420844484
chr3;71079997.8;88849997;5.39876890531741
chr3;88849997;106619996.2;5.21935865906999
chr3;106619996.2;124389995.4;2.5201804881217
chr3;124389995.4;142159994.6;4.12755499051418
chr3;142159994.6;159929993.8;2.70883747267071
chr3;159929993.8;177699993;4.57174258902669
chr4;1;18422634.9;4.52728826059029
chr4;18422634.9;36845268.8;6.06701004921924
chr4;36845268.8;55267902.7;4.14860511375591
chr4;55267902.7;73690536.6;1.33181798681617
chr4;73690536.6;92113170.5;3.19883504819591
chr4;92113170.5;110535804.4;8.53675404740497
chr4;110535804.4;128958438.3;1.53613742210437
chr4;128958438.3;147381072.2;2.12451324413996
chr4;147381072.2;165803706.1;6.24309341849294
chr4;165803706.1;184226340;6.54196766729001
chr5;1;17370722.9;3.45910837312695
chr5;17370722.9;34741444.8;6.98189298687503
chr5;34741444.8;52112166.7;3.467833871115
chr5;52112166.7;69482888.6;8.52531879781745
chr5;69482888.6;86853610.5;4.19329864033498
chr5;86853610.5;104224332.4;2.63181482199579
chr5;104224332.4;121595054.3;1.84173994360026
chr5;121595054.3;138965776.2;6.04185407201294
chr5;138965776.2;156336498.1;5.38418324324302
chr5;156336498.1;173707220;6.21134121108335
chr6;1;14799137.7;5.23770857343916
chr6;14799137.7;29598274.4;0.139508049725555
chr6;29598274.4;44397411.1;2.18077060303185
chr6;44397411.1;59196547.8;2.75998632484116
chr6;59196547.8;73995684.5;2.75539465066977
chr6;73995684.5;88794821.2;4.15163968673442
chr6;88794821.2;103593957.9;0.333140376303345
chr6;103593957.9;118393094.6;0.731142588425428
chr6;118393094.6;133192231.3;0.227384169772267
chr6;133192231.3;147991368;7.23823503039312
chr7;1;14572931.2;6.71365106161684
chr7;14572931.2;29145861.4;5.22242617481388
chr7;29145861.4;43718791.6;7.04332678795327
chr7;43718791.6;58291721.8;3.11569775801618
chr7;58291721.8;72864652;2.97069588080049
chr7;72864652;87437582.2;0.991728651872836
chr7;87437582.2;102010512.4;6.66877152174711
chr7;102010512.4;116583442.6;8.16223332826048
chr7;116583442.6;131156372.8;0.76478170955088
chr7;131156372.8;145729303;7.95766359439585
chr8;1;13330766.2;4.51217196132056
chr8;13330766.2;26661531.4;1.64843653421849
chr8;26661531.4;39992296.6;6.9761356132105
chr8;39992296.6;53323061.8;7.06264092691708
chr8;53323061.8;66653827;1.60705278629903
chr8;66653827;79984592.2;3.32607505854685
chr8;79984592.2;93315357.4;6.53052098911721
chr8;93315357.4;106646122.6;6.05410795023199
chr8;106646122.6;119976887.8;5.86293076411821
chr8;119976887.8;133307653;1.98300254854839
chr9;1;12209530.7;5.71649236113299
chr9;12209530.7;24419060.4;1.6301288602408
chr9;24419060.4;36628590.1;5.66989547072444
chr9;36628590.1;48838119.8;6.492278803722
chr9;48838119.8;61047649.5;8.12306907763705
chr9;61047649.5;73257179.2;4.14809086793102
chr9;73257179.2;85466708.9;0.0158867443213239
chr9;85466708.9;97676238.6;5.09286549319513
chr9;97676238.6;109885768.3;0.643295284942724
chr9;109885768.3;122095298;0.111765766656026
chr10;1;11262648.1;3.12252779414412
chr10;11262648.1;22525295.2;1.93229421952274
chr10;22525295.2;33787942.3;1.62755099313799
chr10;33787942.3;45050589.4;2.08280285988003
chr10;45050589.4;56313236.5;2.83495928042103
chr10;56313236.5;67575883.6;4.59741868840065
chr10;67575883.6;78838530.7;2.13802524916828
chr10;78838530.7;90101177.8;1.02572112532798
chr10;90101177.8;101363824.9;2.46806772735436
chr10;101363824.9;112626472;5.98543206208851
chr11;1;9046385.3;0.75421670358628
chr11;9046385.3;18092769.6;0.0734725354705006
chr11;18092769.6;27139153.9;2.0225782383699
chr11;27139153.9;36185538.2;1.21560331417713
chr11;36185538.2;45231922.5;4.37336139357649
chr11;45231922.5;54278306.8;1.80628876781557
chr11;54278306.8;63324691.1;3.90735637256876
chr11;63324691.1;72371075.4;1.80282525219955
chr11;72371075.4;81417459.7;2.4268263769336
chr11;81417459.7;90463844;6.60096701360308
chr12;1;5271678;6.13963459662627
chr12;5271678;10543355;5.40190330320038
chr12;10543355;15815032;7.94188012664672
chr12;15815032;21086709;3.84835854547564
chr12;21086709;26358386;5.20308251841925
chr12;26358386;31630063;0.158534657070413
chr12;31630063;36901740;4.66039523708168
chr12;36901740;42173417;5.15773645243607
chr12;42173417;47445094;4.18995376972016
chr12;47445094;52716771;6.6816565730609
chr13;1;11403396.8;8.06949388941284
chr13;11403396.8;22806792.6;7.81665861674119
chr13;22806792.6;34210188.4;1.18644684192259
chr13;34210188.4;45613584.2;2.49546311781742
chr13;45613584.2;57016980;3.91635490274057
chr13;57016980;68420375.8;5.92218061157037
chr13;68420375.8;79823771.6;6.27571366564371
chr13;79823771.6;91227167.4;2.64953022908885
chr13;91227167.4;102630563.2;3.6537864922313
chr13;102630563.2;114033959;1.32200851526577
chr14;1;11549345.6;1.78314499945845
chr14;11549345.6;23098690.2;7.76033093822189
chr14;23098690.2;34648034.8;4.31479839559179
chr14;34648034.8;46197379.4;6.07731850957498
