chr;x;labels
chr1;93642683;Marker
chr1;137388638;Marker
chr1;211502710;Marker
chr1;162971861;Marker
chr1;273081287;Marker
chr2;79519468;Marker
chr2;105355301;Marker
chr2;70409834;Marker
chr2;120170553;Marker
chr2;258386697;Marker
chr3;124082210;Marker
chr3;100081312;Marker
chr3;145713653;Marker
chr3;172792833;Marker
chr3;109025207;Marker
chr4;115994689;Marker
chr4;238886962;Marker
chr4;61891600;Marker
chr4;17220241;Marker
chr4;14400147;Marker
chr5;80042405;Marker
chr5;156997851;Marker
chr5;59329267;Marker
chr5;149487986;Marker
chr5;122989731;Marker
chr6;22207757;Marker
chr6;35866852;Marker
chr6;103669401;Marker
chr6;56845028;Marker
chr6;90458599;Marker
chr7;64514679;Marker
chr7;39175604;Marker
chr7;109923330;Marker
chr7;110394987;Marker
chr7;38860617;Marker
chr8;8119766;Marker
chr8;114854901;Marker
chr8;122833772;Marker
chr8;114557347;Marker
chr8;58185834;Marker
chr9;3957418;Marker
chr9;22624433;Marker
chr9;55040479;Marker
chr9;78741408;Marker
chr9;73805144;Marker
chr10;95659469;Marker
chr10;84516235;Marker
chr10;41608102;Marker
chr10;110776237;Marker
chr10;105112584;Marker
chr11;42890469;Marker
chr11;43753669;Marker
chr11;33291534;Marker
chr11;63435925;Marker
chr11;57014545;Marker
chr12;37653659;Marker
chr12;44228734;Marker
chr12;16663868;Marker
chr12;11381884;Marker
chr12;31863467;Marker
chr13;110317627;Marker
chr13;111908881;Marker
chr13;39915943;Marker
chr13;41651128;Marker
chr13;40688427;Marker
chr14;3666865;Marker
chr14;34951233;Marker
chr14;107086028;Marker
chr14;54656518;Marker
chr14;64336433;Marker
chr15;50505811;Marker
chr15;95268615;Marker
chr15;76051016;Marker
chr15;24137177;Marker
chr15;92418743;Marker
chr16;5508067;Marker
chr16;43363254;Marker
chr16;68383400;Marker
chr16;6381194;Marker
chr16;63061092;Marker
chr17;8920973;Marker
chr17;68684734;Marker
chr17;29586790;Marker
chr17;47012209;Marker
chr17;34583654;Marker
chr18;47038665;Marker
chr18;30387308;Marker
chr18;37936880;Marker
chr18;41652300;Marker
chr18;46086142;Marker
chr19;69420730;Marker
chr19;59567758;Marker
chr19;7968857;Marker
chr19;52558975;Marker
chr19;26266398;Marker
chr20;29692388;Marker
chr20;57740834;Marker
chr20;35467864;Marker
chr20;55539358;Marker
chr20;7301368;Marker
chrX;4869526;Marker
chrX;450396;Marker
chrX;28554819;Marker
chrX;129324893;Marker
chrX;81436504;Marker
