chr;x;y
chr1;235318802;-0.984097823580728
chr1;273489056;0.464641168064388
chr1;39672113;-2.98255146439468
chr1;67441004;0.488774985808159
chr1;222033750;5.1260201478773
chr1;84136926;2.00172251172061
chr1;40358140;3.83202641364761
chr1;166816487;-6.09013702473701
chr1;200176091;9.13007661076788
chr1;279245640;-8.60330221612531
chr1;54845487;-8.28757379999611
chr1;161353430;7.4196092980509
chr1;266480099;5.12377501112137
chr1;131434643;1.82292080398732
chr1;276577210;4.23882938834545
chr1;203888387;-6.11609048724178
chr1;131134504;-1.41665366719259
chr1;154813573;0.29736036502845
chr1;268720989;4.01133282609741
chr1;247892492;-7.2541719747922
chr1;63510095;-1.89436385879114
chr1;33361614;-1.14963580529909
chr1;183121097;1.18312417234567
chr1;239962387;2.97834195431877
chr1;282100733;-5.18232784061984
chr1;259428138;0.0682022555599113
chr1;250199975;2.59120047656564
chr1;89428507;-2.01337175178759
chr1;171875464;10.2683876637257
chr1;193457772;0.668289644990072
chr1;245145428;8.16074010194241
chr1;5155834;-3.19841949125901
chr1;146181894;-3.41167535786083
chr1;234669823;-5.82106107506145
chr1;123290366;7.10110696298963
chr1;11464255;-3.54732183476648
chr1;231905509;1.42274157337979
chr1;222357555;-0.121358013652947
chr1;47344062;11.4000671498099
chr1;108978601;0.63818695794557
chr1;79140696;-3.47462686995932
chr1;143978104;4.90767995376078
chr1;253391468;4.69135771186479
chr1;59227906;9.6816238363502
chr1;288764823;6.02628204181547
chr1;107710102;2.92079888397734
chr1;91017331;4.19702294336905
chr1;55209408;-10.914501871037
chr1;50063536;2.47384860119779
chr1;17529630;5.40182443867152
chr1;238802478;-2.60905399812245
chr1;173824123;-0.829211483319416
chr1;244729626;-2.25889724791781
chr1;279090811;1.87499697725205
chr1;144652081;0.582020372106618
chr1;198823802;1.0046682752063
chr1;99238025;-10.3289933297159
chr1;197399477;2.27479834772019
chr1;107832323;5.78914638595829
chr1;100751884;2.15627127380697
chr1;224290492;1.53367671950102
chr1;139348827;-2.56861265595667
chr1;133474943;0.161349323211369
chr1;102242752;-5.43652594837177
chr1;279749869;2.53736488271722
chr1;228829314;-2.85244835464993
chr1;166746430;0.675195354225398
chr1;201381729;-1.95483157743517
chr1;33552991;1.22276131909821
chr1;77866132;-3.60415744376569
chr1;21858129;2.91987533553776
chr1;21397122;0.61425427703238
chr1;119128951;-3.23126994930439
chr1;225407205;4.48297903470234
chr1;197172214;-1.54322804330305
chr1;176595414;1.87072482302863
chr1;9098223;-2.48874595105896
chr1;240500544;7.59668315032717
chr1;24987615;5.89393607256323
chr1;266829445;3.50980863001483
chr1;76546006;-4.90458974711177
chr1;138575713;17.9169472094814
chr1;88593551;-1.13196932556524
chr1;234237165;-3.75406459465154
chr1;230466795;12.4802180453411
chr1;35977046;-1.75568065126131
chr1;191131672;-7.08368878379129
chr1;178710098;8.2728987045446
chr1;189024635;8.68545591017227
chr1;2329289;3.14351146036435
chr1;137328495;2.46664372827258
chr1;162025217;0.976621055282885
chr1;224103424;0.131750494846906
chr1;43662650;5.93052618862544
chr1;280165719;5.21164864826204
chr1;83406549;6.51294374652057
chr1;96769983;-7.25273985527315
chr1;206376544;0.0930172593961722
chr1;283515176;-5.97175724730377
chr1;154919497;-5.73180846571212
chr1;272756692;-1.75489501701941
chr1;156391730;3.01712146651086
chr1;175190832;2.7163241384194
chr1;286202773;3.70005296297684
chr1;208384891;3.39037365508863
chr1;238072578;7.04165254939229
chr1;209876928;2.12413215188757
chr1;266486384;2.59026693447175
chr1;115751291;0.0910694858031594
chr1;236722628;-4.90847516884965
chr1;236211164;-2.25696277590256
chr1;179966234;-3.65723567373291
chr1;59176271;1.35229258426477
chr1;138504604;-3.41663904242027
chr1;170033273;-1.84691982437743
chr1;241183970;2.54360671638132
chr1;277430366;5.00361706883968
chr1;91435798;6.95919019212894
chr1;50799313;-0.201833377791693
chr1;184462294;-9.79326285226871
chr1;70053241;-4.91537247969232
chr1;204609271;-13.2879606626426
chr1;95613588;-7.66898053279405
chr1;65340688;2.41693928782156
chr1;56806796;2.92521360762209
chr1;169752418;1.10318715420125
chr1;230422593;-0.88488342414542
chr1;242387177;2.09353126788718
chr1;83031143;5.76719697076824
chr1;254653428;3.26205897143554
chr1;170656985;-0.267069882185888
chr1;222933670;-4.11820971277213
chr1;151863793;0.803812148072755
chr1;122722301;1.29016895162633
chr1;89663290;0.729062191629609
chr1;265814584;4.64318135875331
chr1;104271946;-4.63004750593551
chr1;105624435;0.927866913563535
chr1;77484473;1.65073621225797
chr1;106529590;-5.51454591496793
chr1;16396705;11.141594627698
chr1;172906001;1.13583515500935
chr1;98194925;-2.34909703676582
chr1;152217625;-5.23083753595457
chr1;247176694;2.35583743114978
chr1;173461989;2.7969989648168
chr1;6934039;6.96193720787567
chr1;147495310;4.69421552962518
chr1;113923659;-3.45307324464905
chr1;245960565;2.89199233322242
chr1;130786251;-3.65415876004207
chr1;60503225;1.87430867532533
chr1;272530815;1.49582536171149
chr1;79447312;-7.83617360195076
chr1;220238017;-4.64720078727701
chr1;192525119;4.32102395871111
chr1;104377734;2.89960968882127
chr1;242896821;4.39715389168364
chr1;118345613;1.69353220661583
chr1;47154879;-6.460108013851
chr1;110052447;3.18397760422357
chr1;98447695;-3.90960211793745
chr1;156592880;-1.25979539672718
chr1;125959903;-1.18474931814343
chr1;70583509;-5.42676002467011
chr1;94759454;-5.88808129219646
chr1;50066285;6.87687473579726
chr1;236974605;0.197860155479684
chr1;141118478;11.803621124288
chr1;108861302;3.53778588565024
chr1;153980745;4.12545132146718
chr1;165923714;-2.01662811842666
chr1;16709844;-2.11230395975105
chr1;1468746;9.04892201043757
chr1;81907560;1.21337429956494
chr1;15364909;5.75039151066385
chr1;11670897;-8.27895346853843
chr1;106404386;4.36060511141596
chr1;69475040;-5.8519395332522
chr1;129364296;5.52196771051069
chr1;244608207;2.55621301632542
chr1;29475631;9.38348497505527
chr1;194284333;3.60612939235566
chr1;96075530;0.0638317620476872
chr1;110287444;10.9454611106063
chr1;276604733;-1.53063206843196
chr1;47258851;6.75805408413826
chr1;241540444;-5.27649472574637
chr1;235934610;2.80057352161864
chr1;2823900;2.77373840835418
chr1;231251327;-3.46019444470557
chr1;154433141;3.60447952201706
chr1;196421426;-5.33159264538868
chr1;279514385;-0.92143912418741
chr1;287499366;3.37104648258851
chr1;284197383;3.51599633761548
chr1;23511271;4.88898352864594
chr1;247977944;2.15606361603727
chr1;253778332;7.83543558494336
chr1;91102616;0.20331497641995
chr2;32934764;-3.76310056321069
chr2;260779077;5.13346254657421
chr2;256129996;5.00735155771833
chr2;285053349;12.9764864776465
chr2;223069225;4.18388158112832
chr2;244513791;-1.1082893257084
chr2;7017172;-0.696063353454313
chr2;109426364;4.51231154350838
chr2;268019071;-3.75907109342856
chr2;280857825;7.9853682665273
chr2;183110839;5.07242906393612
chr2;375434;0.303548932550723
chr2;40496865;0.59009069729451
chr2;247153619;2.9486037172394
chr2;6394418;-0.922924568854969
chr2;47559322;0.78118505650649
chr2;103525091;1.8100453652351
chr2;277614428;-13.3546813498714
chr2;242985671;0.900653784566788
chr2;111444073;1.33724146426288
chr2;253819401;4.67143659035161
chr2;107580513;-6.08555929362761
chr2;16717223;3.30871032496933
chr2;200512286;-6.04845306565008
chr2;193975563;4.09649251676113
chr2;55079534;-16.4421720284136
chr2;222360485;1.73648714799539
chr2;243557436;-7.26738920675228
chr2;54752246;8.07074961081658
chr2;34177199;1.04055050859634
chr2;222058080;-3.49545474425189
chr2;277734762;-0.701140588984941
chr2;237063311;1.34215865577803
chr2;272530989;-0.863451048500515
chr2;1531158;-0.0832489544868293
chr2;229925721;5.92259296740033
chr2;39615434;7.067052222084
chr2;124759977;-10.2966734646113
chr2;145380836;7.28860760635398
